LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,DEFAULT_PAYMENT_NEXT_MONTH,util_max,payment_profile,bust_out_score,alert_type_1,alert_score_1,rule_1_triggered,alert_type_2,alert_score_2,rule_2_triggered,alert_type_3,alert_score_3,rule_3_triggered,total_alerts
200000,2,1,2,37,0,0.5271,Always Duly,0,,,0,,,0,,,0,0
200000,2,3,2,30,0,0.980715,Always Duly,1,,,0,,,0,,,0,0
210000,1,3,1,45,1,0.7338333333,Always Dela,2,,,0,,,0,,,0,0
50000,1,3,1,57,0,0.28166,Deteriorati,1,,,0,,,0,,,0,0
30000,1,1,2,41,0,0.9440333333,Deteriorati,2,,,0,,,0,,,0,0
50000,1,2,2,27,0,0.0216,Volatile,1,,,0,,,0,,,0,0
290000,1,3,1,47,0,0.0042551724,Always Duly,2,,,0,,,0,,,0,0
250000,2,1,1,34,0,0.64088,Volatile,0,,,0,,,0,,,0,0
60000,2,2,1,46,0,0.4626,Always Duly,0,,,0,,,0,,,0,0
110000,2,1,2,27,0,0.9532272727,Always Duly,1,,,0,,,0,,,0,0
370000,1,1,2,50,0,0.0416162162,Always Duly,0,,,0,,,0,,,0,0
100000,1,2,1,27,0,1.02349,Volatile,1,,,0,,,0,,,0,0
90000,2,2,1,35,0,0.981,Volatile,1,,,0,,,0,,,0,0
50000,2,2,2,22,0,0.58732,Always Duly,0,,,0,,,0,,,0,0
270000,1,2,2,37,0,0.1396111111,Always Duly,0,,,0,,,0,,,0,0
300000,2,1,2,30,0,0.0144666667,Always Duly,0,,,0,,,0,,,0,0
50000,2,2,2,22,0,0.30546,Always Duly,0,,,0,,,0,,,0,0
50000,2,1,2,24,1,-0.01418,Deteriorati,1,,,0,,,0,,,0,0
360000,1,1,2,29,0,0.0002138889,Volatile,1,,,0,,,0,,,0,0
130000,1,3,1,56,1,0.5599692308,Always Dela,1,,,0,Structuring Alert,5,1,,,0,1
80000,1,1,2,30,0,0.0773375,Always Duly,2,,,0,,,0,,,0,0
50000,1,2,2,30,0,0.9772,Volatile,2,,,0,,,0,,,0,0
20000,2,2,2,22,0,0.80005,Always Duly,0,,,0,,,0,,,0,0
80000,2,2,1,29,0,1.0226375,Volatile,1,,,0,,,0,,,0,0
240000,1,1,2,37,0,0.1108541667,Volatile,0,,,0,,,0,,,0,0
80000,2,3,2,35,0,0.6201,Always Duly,2,,,0,,,0,,,0,0
500000,2,1,1,47,0,0.245934,Always Duly,0,,,0,,,0,,,0,0
60000,2,2,1,24,1,0.9670666667,Always Duly,1,,,0,,,0,,,0,0
20000,1,2,2,25,0,0.6535,Always Duly,0,,,0,,,0,,,0,0
100000,2,2,1,38,1,0.16448,Volatile,1,,,0,,,0,,,0,0
360000,2,1,2,32,0,0.190125,Deteriorati,1,,,0,,,0,,,0,0
200000,2,3,2,47,1,1.014735,Always Dela,2,,,0,,,0,,,0,0
130000,2,2,1,34,0,0.1125846154,Volatile,1,,,0,,,0,,,0,0
20000,2,2,2,31,0,1.08515,Always Dela,3,Bust-Out Alert,3,1,,,0,,,0,1
310000,1,1,2,32,0,0.2125,Always Duly,0,,,0,,,0,,,0,0
60000,2,1,2,27,1,0.3834166667,Volatile,1,,,0,,,0,,,0,0
180000,2,1,2,29,0,0.0957055556,Always Duly,2,,,0,,,0,,,0,0
180000,2,1,2,24,0,0.1227055556,Volatile,0,,,0,,,0,,,0,0
50000,1,2,1,36,0,0.9558,Always Duly,3,,,0,,,0,,,0,0
50000,2,1,2,24,1,0.8007,Always Dela,1,,,0,,,0,,,0,0
150000,2,2,1,34,0,0.01,Always Duly,0,,,0,,,0,,,0,0
20000,2,1,2,22,0,0.9723,Always Duly,1,,,0,,,0,,,0,0
500000,2,1,1,34,0,0.004598,Always Duly,2,,,0,,,0,,,0,0
30000,2,3,2,22,1,0.9945333333,Volatile,2,,,0,,,0,Sleeper Alert,0.967,1,1
180000,2,1,1,38,0,0.0041666667,Always Duly,0,,,0,,,0,,,0,0
140000,1,1,2,31,0,0.1957642857,Volatile,0,,,0,Structuring Alert,4,1,,,0,1
140000,2,1,2,26,0,0.1285714286,Always Duly,0,,,0,,,0,,,0,0
120000,1,2,2,26,0,1.0177916667,Always Duly,1,,,0,,,0,,,0,0
360000,2,2,1,48,0,0.6505333333,Always Duly,0,,,0,,,0,,,0,0
20000,1,3,1,43,0,1.01755,Always Duly,1,,,0,,,0,,,0,0
100000,1,1,1,47,0,0.01473,Always Duly,0,,,0,,,0,,,0,0
210000,2,2,1,41,1,0.0179190476,Always Duly,2,,,0,,,0,,,0,0
80000,2,2,2,24,1,1.0203125,Always Duly,1,,,0,,,0,,,0,0
330000,2,1,1,50,0,0.0268848485,Always Duly,2,,,0,,,0,,,0,0
220000,1,1,2,24,0,0.5069090909,Always Duly,0,,,0,,,0,,,0,0
210000,2,1,1,38,1,0.0058190476,Volatile,1,,,0,,,0,,,0,0
40000,2,3,1,43,0,0.972525,Always Duly,1,,,0,,,0,,,0,0
30000,1,2,2,39,0,0.9449,Volatile,1,,,0,,,0,,,0,0
470000,1,2,2,27,0,1.0212297872,Deteriorati,2,,,0,,,0,,,0,0
30000,1,3,1,42,0,0.044,Volatile,0,,,0,,,0,,,0,0
240000,2,2,1,36,1,-0.003941667,Deteriorati,1,,,0,,,0,,,0,0
80000,1,2,2,36,0,1.0002,Deteriorati,2,,,0,,,0,,,0,0
110000,2,3,0,31,0,0.8180818182,Always Duly,0,,,0,,,0,,,0,0
310000,2,1,2,38,0,0.0146516129,Always Duly,0,,,0,,,0,,,0,0
360000,2,1,1,40,1,0.3339944444,Deteriorati,1,,,0,Structuring Alert,3,1,,,0,1
330000,2,3,2,45,0,1.0174545455,Always Duly,1,,,0,,,0,,,0,0
300000,2,2,2,35,0,0.9908933333,Always Duly,1,,,0,,,0,,,0,0
320000,2,2,2,33,0,0.339365625,Always Duly,0,,,0,,,0,,,0,0
50000,2,3,2,37,1,1.05252,Volatile,2,,,0,,,0,,,0,0
170000,2,1,2,28,0,0.7717588235,Always Duly,0,,,0,,,0,,,0,0
350000,1,3,1,44,0,0.0093285714,Always Duly,0,,,0,,,0,,,0,0
20000,1,2,1,37,0,0.95875,Always Duly,1,,,0,,,0,,,0,0
50000,1,2,2,23,1,0.99516,Deteriorati,2,,,0,,,0,,,0,0
20000,2,3,2,24,0,0.9577,Volatile,2,,,0,,,0,Sleeper Alert,0.9577,1,1
50000,2,1,2,24,0,0.71592,Always Duly,0,,,0,,,0,,,0,0
20000,1,2,2,23,1,1.01175,Volatile,2,,,0,,,0,,,0,0
50000,1,2,1,26,0,2.056,Always Duly,1,,,0,,,0,,,0,0
190000,1,2,2,34,1,0.7897473684,Volatile,1,,,0,Structuring Alert,4,1,,,0,1
60000,2,2,1,33,0,0.97005,Always Duly,3,,,0,,,0,,,0,0
80000,1,1,2,35,0,0.249275,Always Duly,2,,,0,,,0,,,0,0
150000,2,2,2,27,0,0.8493466667,Always Duly,0,,,0,,,0,,,0,0
210000,2,1,2,31,0,0.0353428571,Always Duly,0,,,0,,,0,,,0,0
240000,2,3,1,50,1,0.9758541667,Always Duly,1,,,0,,,0,,,0,0
140000,2,2,3,41,1,0.1638571429,Always Duly,0,,,0,,,0,,,0,0
60000,2,1,2,28,0,0.35835,Volatile,1,,,0,,,0,,,0,0
50000,1,1,2,39,0,1.01606,Always Duly,1,,,0,,,0,,,0,0
50000,2,2,2,27,0,0.58798,Always Duly,0,,,0,,,0,,,0,0
180000,2,1,2,32,0,0.0325166667,Volatile,0,,,0,Structuring Alert,3,1,,,0,1
30000,2,1,2,40,0,0.0071666667,Volatile,0,,,0,,,0,,,0,0
20000,2,2,2,40,0,1.0198,Always Duly,1,,,0,,,0,,,0,0
250000,2,2,1,75,0,0.211496,Always Duly,2,,,0,,,0,,,0,0
100000,2,2,2,27,0,0.37767,Always Duly,0,,,0,,,0,,,0,0
330000,1,1,2,25,0,0.1549606061,Volatile,0,,,0,,,0,,,0,0
50000,1,3,1,46,0,0.71426,Always Duly,2,,,0,,,0,,,0,0
50000,2,2,2,26,0,1.02972,Volatile,2,,,0,,,0,,,0,0
30000,1,2,2,28,0,0.9835666667,Always Duly,1,,,0,,,0,,,0,0
140000,2,2,2,26,1,0.7692785714,Always Duly,0,,,0,,,0,,,0,0
160000,2,1,2,28,0,0.62293125,Always Duly,0,,,0,,,0,,,0,0
400000,2,2,2,29,0,0.04883,Always Duly,2,,,0,,,0,,,0,0
50000,1,2,1,25,0,0.59856,Always Duly,0,,,0,,,0,,,0,0
140000,2,2,1,48,0,0.1525785714,Always Duly,0,,,0,,,0,,,0,0
160000,2,2,1,33,0,0.328575,Always Duly,2,,,0,,,0,,,0,0
100000,2,3,1,43,0,0.6217,Always Duly,0,,,0,,,0,,,0,0
220000,1,1,1,48,1,0.9705545455,Deteriorati,2,,,0,,,0,,,0,0
510000,2,1,2,29,0,0.2111490196,Always Duly,0,,,0,,,0,,,0,0
50000,1,2,2,29,0,0.98552,Always Duly,1,,,0,,,0,,,0,0
160000,2,1,1,38,0,0.11838125,Volatile,0,,,0,,,0,,,0,0
230000,2,1,2,37,0,0.2209347826,Always Duly,0,,,0,,,0,,,0,0
80000,2,1,2,37,0,0.2109,Always Duly,2,,,0,,,0,,,0,0
150000,2,2,1,25,0,0.04104,Always Duly,0,,,0,,,0,,,0,0
10000,1,3,2,23,0,0.9729,Volatile,1,,,0,,,0,,,0,0
130000,2,3,2,49,1,0.7027846154,Always Duly,0,,,0,,,0,,,0,0
40000,2,1,2,48,0,0.891825,Always Duly,0,,,0,,,0,,,0,0
50000,1,2,2,27,1,0.2976,Deteriorati,1,,,0,,,0,,,0,0
100000,1,3,2,32,0,0.70003,Always Duly,2,,,0,,,0,,,0,0
120000,1,1,1,34,0,0.01125,Volatile,2,,,0,,,0,,,0,0
260000,2,1,2,58,1,0,Deteriorati,1,,,0,,,0,,,0,0
200000,2,2,2,33,0,0.081625,Always Duly,0,,,0,,,0,,,0,0
360000,2,2,2,28,1,0,Always Duly,0,,,0,,,0,,,0,0
70000,2,2,2,36,0,0.9874285714,Always Duly,1,,,0,,,0,,,0,0
460000,1,1,1,40,1,0.0489891304,Deteriorati,1,,,0,,,0,,,0,0
50000,2,1,2,26,0,0.02312,Always Duly,2,,,0,,,0,,,0,0
50000,1,3,1,33,0,1.01718,Always Duly,1,,,0,,,0,,,0,0
250000,2,2,1,31,0,0.412436,Always Duly,0,,,0,,,0,,,0,0
30000,2,1,2,27,0,0.0819333333,Always Duly,0,,,0,,,0,,,0,0
270000,1,2,1,44,0,0.4723814815,Always Duly,0,,,0,,,0,,,0,0
180000,2,3,2,30,0,0.91075,Always Duly,1,,,0,,,0,,,0,0
100000,2,1,2,28,0,0.56265,Always Duly,0,,,0,,,0,,,0,0
230000,2,3,1,32,0,0.848373913,Always Duly,2,,,0,,,0,,,0,0
210000,2,1,1,46,0,0.5254571429,Always Duly,2,,,0,,,0,,,0,0
210000,1,1,2,38,0,0.3031571429,Deteriorati,1,,,0,,,0,,,0,0
440000,2,2,1,46,0,0.4126295455,Always Duly,0,,,0,,,0,,,0,0
100000,2,2,2,25,1,0.71678,Deteriorati,1,,,0,,,0,,,0,0
240000,2,2,1,46,0,0.0490208333,Always Duly,0,,,0,,,0,,,0,0
280000,1,1,2,33,1,0.0032071429,Always Duly,0,,,0,,,0,,,0,0
50000,2,2,2,22,1,0,Deteriorati,1,,,0,,,0,,,0,0
30000,1,2,1,43,0,0.087,Always Dela,1,,,0,,,0,,,0,0
10000,1,2,2,27,1,1.0227,Volatile,1,,,0,,,0,,,0,0
130000,1,1,2,29,0,0,Deteriorati,1,,,0,,,0,,,0,0
200000,1,1,2,31,0,0.98672,Always Duly,1,,,0,,,0,,,0,0
120000,2,2,1,29,0,0.0181583333,Always Duly,2,,,0,,,0,,,0,0
210000,2,2,1,36,0,0.7056666667,Always Duly,0,,,0,,,0,,,0,0
280000,2,1,1,36,0,0.2258035714,Always Duly,0,,,0,,,0,,,0,0
300000,1,1,2,34,1,0.0653166667,Volatile,1,,,0,,,0,,,0,0
100000,1,2,2,37,0,0.99209,Always Duly,1,,,0,,,0,,,0,0
440000,2,1,2,36,0,0,Always Duly,0,,,0,,,0,,,0,0
50000,2,3,1,40,0,1.02426,Always Duly,1,,,0,,,0,,,0,0
20000,2,1,2,25,1,1.391,Volatile,1,,,0,,,0,,,0,0
200000,2,1,2,27,0,0.03707,Always Duly,0,,,0,,,0,,,0,0
110000,2,2,2,26,0,0.0518545455,Always Duly,0,,,0,,,0,,,0,0
500000,2,2,1,36,0,0.047912,Always Duly,0,,,0,,,0,,,0,0
300000,2,2,1,27,0,0.0173833333,Deteriorati,1,,,0,,,0,,,0,0
30000,1,3,1,55,1,0.4838,Always Dela,2,,,0,,,0,,,0,0
60000,2,1,2,27,0,0.34745,Always Duly,2,,,0,,,0,,,0,0
400000,2,2,1,38,0,0.013305,Always Duly,0,,,0,,,0,,,0,0
180000,2,2,1,34,0,0.8169,Always Duly,0,,,0,,,0,,,0,0
20000,1,1,2,40,0,0.82835,Volatile,0,,,0,,,0,,,0,0
200000,2,3,1,49,1,0.299915,Volatile,0,,,0,Structuring Alert,5,1,,,0,1
100000,1,1,2,27,0,0.55734,Always Duly,0,,,0,,,0,,,0,0
60000,1,2,2,23,1,0.8251166667,Always Duly,0,,,0,,,0,,,0,0
110000,2,2,2,36,0,0.4877454545,Always Duly,0,,,0,,,0,,,0,0
260000,2,3,1,53,0,0.0020230769,Volatile,1,,,0,,,0,,,0,0
50000,2,3,1,46,0,1.0191,Deteriorati,2,,,0,,,0,,,0,0
180000,1,2,2,29,0,-0.000011111,Deteriorati,1,,,0,,,0,,,0,0
110000,1,2,2,29,1,0.5305636364,Volatile,1,,,0,Structuring Alert,4,1,,,0,1
340000,2,1,2,27,0,0.5298235294,Always Duly,0,,,0,,,0,,,0,0
50000,1,2,2,24,0,0.16768,Always Duly,0,,,0,,,0,,,0,0
230000,2,2,1,28,1,0.1146130435,Always Duly,0,,,0,,,0,,,0,0
360000,2,2,2,32,0,0.2798277778,Always Duly,0,,,0,,,0,,,0,0
210000,1,2,2,43,0,0.2146428571,Volatile,1,,,0,,,0,,,0,0
220000,2,2,1,41,1,0.0043181818,Volatile,0,,,0,,,0,,,0,0
60000,2,2,1,34,1,0.50375,Deteriorati,1,,,0,,,0,,,0,0
340000,1,2,1,55,0,0.1482235294,Always Duly,0,,,0,,,0,,,0,0
150000,1,1,1,40,0,0.72952,Always Dela,1,,,0,,,0,,,0,0
200000,2,2,1,37,1,0.116045,Volatile,1,,,0,Structuring Alert,4,1,,,0,1
130000,2,2,2,40,1,0.0975769231,Volatile,0,,,0,,,0,,,0,0
60000,2,1,2,28,0,0.53095,Volatile,1,,,0,,,0,,,0,0
